d,Name,Author,Sec,Tier,Screenshot,X,Y,Z,XP,Res,Trees,Surveyor,Steam name,Aluminium,Bronze,Copper,Gold,Iron,Lead,Nickel,Silver,Steel,Tin,Titanium,Tungsten
A2_12,Floating Hills,Milk Stong 2,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54cHliUmtlQzY0T0k,13210,497,7412,4,No,"Palm, Ash",SonneillonZ,,,,,,,,,,,,,
A2_13,Plateau of Beginnings,Narciciss,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54NUU4bXVESkJZUUk,13879,-505,6212,3,Yes,"Birch, Oak",SonneillonZ,,,,,,,,,,,,,
A2_14,Lightning God Shrine,nathfuzz,A2,1,https://drive.google.com/open?id=0B8h0dYtlmo54ZVRwUWJHUFdzU0E,12345,-456,5662,2,No,Chest,SonneillonZ,,,,,,,,,,,,,
A2_15,Crevice,Drewscriver,A2,1,http://i.imgur.com/mzSK2am.jpg,14862,41,5199,2,Yes,"Birch, Elm, Oak",sortair,,,,,,,,,,,,,
A3_1,Greenland,Narciciss,A3,1,http://i.imgur.com/kb0ctyL.jpg,8722,-307,-1669,5,Yes,Elm,sortair,,,,,,,,,,,,,
A3_2,Lily Isle,Deaddropping,A3,1,http://i.imgur.com/f2w3ItU.jpg,7640,-536,-2598,1,No,"Birch, Oak",sortair,,,,,,,,,,,,,
A3_3,Burnt Peak,Drewscriver,A3,1,http://i.imgur.com/3jk21YI.jpg,8821,347,-3151,4,No,Elm,sortair,,,,,,,,,,,,,
A3_4,Treyarch,GermanLeagueGamingX,A3,1,http://i.imgur.com/23Qdd6u.jpg,9140,164,-4117,1,Yes,Elm,sortair,,,,,,,,,,,,,
A3_5,Catwalk,Goose,A3,1,http://i.imgur.com/XkfMfQa.jpg,10012,13,-4975,2,Yes,"Birch, Hemlock, Oak",sortair,,,,,,,,,,,,,
A3_6,Tether,Wargamer31,A3,1,http://i.imgur.com/Htbfhjr.jpg,10401,-91,-3987,3,Yes,"Birch, Elm, Palm",sortair,,,,,,,,,,,,,
A3_7,Wall-de-Rock,GABRIEL_ROCK,A3,1,http://i.imgur.com/YuwozDX.jpg,10327,124,-2671,2,Yes,"Birch, Elm, Oak, Palm",sortair,,,,,,,,,,,,,
A3_8,Back Bone,Zƒ ● Retribution<3,A3,1,http://i.imgur.com/bkfqFAE.jpg,10586,250,-942,3,Yes,"Birch, Palm",sortair,,,,,,,,,,,,,
A3_9,Tide,GuyverGamingtv,A3,1,http://i.imgur.com/RMRttv7.jpg,9362,115,113,4,Yes,"Birch, Elm, Oak",sortair,,,,,,,,,,,,,
A3_10,Erosion,DuckyDragon957,A3,1,http://i.imgur.com/NS6MKVl.jpg,8963,-46,1972,4,Yes,"Cedar, Oak",sortair,,,,,,,,,,,,,
A3_11,Mole Hole,Entorox,A3,1,http://i.imgur.com/NAAabtS.jpg,8353,351,957,2,Yes,Birch,sortair,,,,,,,,,,,,,
A3_12,Rock Bottom,Avarice,A3,1,http://i.imgur.com/xb5Lohg.jpg,8522,-674,-133,1,No,"Birch, Elm",sortair,,,,,,,,,,,,,
A3_13,Mite,Beanifer,A3,1,http://i.imgur.com/GYGohX6.jpg,7461,-413,135,1,Yes,"Birch, Chestnut, Hemlock, Oak",sortair,,,,,,,,,,,,,
A3_14,Rog,N3x,A3,1,http://i.imgur.com/gL7qdtB.jpg,7451,-305,-1225,0,No,Oak,sortair,,,,,,,,,,,,,
A3_15,Raindrop,This Fucking Faggot,A3,1,http://i.imgur.com/9yXjI0o.jpg,7726,271,-1713,1,No,None,sortair,,,,,,,,,,,,,
A3_16,Trenches,Narciciss,A3,1,http://i.imgur.com/k9V1BnQ.jpg,6493,520,-1404,2,Yes,Birch,sortair,,,,,,,,,,,,,
A4_1,Ruby Ruins,Hideous,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54ODBDS2lNUTZTeEk,11866,-16,1920,4,Yes,Chest,SonneillonZ,,,,,,,,,,,,,
A4_2,Cliffside Path,allieFlx,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54VWRmc0N3VGFKR0U,12653,274,357,3,Yes,Oak,SonneillonZ,,,,,,,,,,,,,
A4_3,Basecamp,Nivis,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54ejRuZmxWNUJidk0,13137,351,-1166,3,No,"Oak, Birch, Chestnut",SonneillonZ,,,,,,,,,,,,,
A4_4,Highrise,Zyglotop,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54TTdQaUxfTmtDcEE,13661,373,-2398,4,Yes,"Oak, Birch, Elm",SonneillonZ,,,,,,,,,,,,,
A4_5,Beacon Town,Schwali,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54RDVCbGlfVjhsMWc,14601,227,-2012,1,No,"Birch, Elm",SonneillonZ,,,,,,,,,,,,,
A4_6,Beachfront,Hiræther Harbinger de Behçet,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54cHFTOGI2QnVsVmc,15274,-379,-935,2,Yes,Palm,SonneillonZ,,,,,,,,,,,,,
A4_7,Muddy Hills,A Typical Native,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54T0R0YWdpT2RqdHM,16383,-205,-1819,1,Yes,"Oak, Birch, Elm",SonneillonZ,,,,,,,,,,,,,
A4_8,Bio Shrines,Lexhy,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54NjExREdZU0NlUVU,14455,-391,292,4,Yes,"Cedar, Elm",SonneillonZ,,,,,,,,,,,,,
A4_9,Appendage,dougmantis,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54VUVYWDd5azR5NWM,16429,384,137,2,Yes,Hemlock,SonneillonZ,,,,,,,,,,,,,
A4_10,Crane Mountain,Jeremy_Kerman,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54TVZhWkNsbmNtRlE,15663,554,1320,4,No,Birch,SonneillonZ,,,,,,,,,,,,,
A4_11,Manor,Frenk4,A4,2,https://drive.google.com/open?id=0B8h0dYtlmo54QWdWU2pLUFNKMnc,13489,-310,1571,1,No,"Birch, Chestnut",SonneillonZ,,,,,,,,,,,,,
B1_1,Mine Shaft,Diabase,B1,3,https://i.imgur.com/6ETTXKA.jpg,9372,-283,-10580,3,,,Turk645,,,,,,,,,,,,,
B1_2,Crashed Church,Mr.Secundus,B1,3,https://i.imgur.com/8DxVZim.jpg,8824,-78,-11321,3,,,Turk645,,,,,,,,,,,,,
B1_3,Sanctuary,aeixovu,B1,3,https://i.imgur.com/YbEdOYH.jpg,9884,476,-12040,3,,,Turk645,,,,,,,,,,,,,
B1_4,Telemon Isle,Lexhy,B1,3,https://i.imgur.com/jweFS37.jpg,10922,507,-12771,5,,,Turk645,,,,,,,,,,,,,
B1_5,Knowledge Temple,ArchEngel,B1,3,https://i.imgur.com/X9XnDcv.jpg,9539,-82,-12855,2,,,Turk645,,,,,,,,,,,,,
B1_6,Stoney Shrine,Loaf,B1,3,https://i.imgur.com/wVoWUt0.jpg,9214,451,-14620,5,,,Turk645,,,,,,,,,,,,,
B1_7,Labyrinth,Synovus,B1,3,https://i.imgur.com/noHdaRT.jpg,10752,-430,-14703,4,,,Turk645,,,,,,,,,,,,,
B1_8,Floating Temple,Loverin,B1,3,https://i.imgur.com/YqlMkle.jpg,11884,273,-14496,,,,Turk645,,,,,,,,,,,,,
B1_9,Observatory,Xerzie,B1,3,https://i.imgur.com/FsQiDiM.jpg,9223,419,-16300,,,,Turk645,,,,,,,,,,,,,
B1_10,Mad Scientist's Lair,Think Tank,B1,3,https://i.imgur.com/FpZXQ9z.jpg,10775,-119,-15819,,,,Turk645,,,,,,,,,,,,,
B1_11,The Makers Sundial,rykaan,B1,3,https://i.imgur.com/rwfeYmv.jpg,11753,-502,-16535,3,,,Turk645,,,,,,,,,,,,,
B2_1,Anchorage Isle,Fenix,B2,3,https://i.imgur.com/InGqzri.jpg,16760,-421,-12495,,,,Turk645,,,,,,,,,,,,,
B2_2,Yarrin City,Lexhy,B2,3,https://i.imgur.com/MQnmhAK.jpg,15294,458,-12809,4,,,Turk645,,,,,,,,,,,,,
B2_3,Training Grounds,Literally Hitler,B2,3,https://i.imgur.com/8mPSeAt.jpg,14449,502,-13482,,,,Turk645,,,,,,,,,,,,,
B2_4,Chained Islands,Entity.Prefab,B2,3,https://i.imgur.com/KmGqtyo.jpg,16661,-116,-14419,,,,Turk645,,,,,,,,,,,,,
B2_5,Axion,Synovus,B2,3,https://i.imgur.com/LcDw76s.jpg,15694,-439,-14990,,,,Turk645,,,,,,,,,,,,,
B2_6,Juno,Athen,B2,3,https://i.imgur.com/K2rU2D8.jpg,14500,-459,-15856,,,,Turk645,,,,,,,,,,,,,
B2_7,Swinger's Club,Synovus,B2,3,https://i.imgur.com/QhJeOdI.jpg,16987,626,-15912,,,,Turk645,,,,,,,,,,,,,
B2_8,Vestige,Dante,B2,3,https://i.imgur.com/kVUAHXT.jpg,15342,253,-16767,,,,Turk645,,,,,,,,,,,,,
H1_1,Half Arena,Kranot,H1,4,https://i.imgur.com/T0k4Cfi.png,3533,-195,-7550,3,No,"Hemlock, Palm",Jerodar,,,,,,,,,,,,,
H1_2,Dust Ball,WalfaIcon,H1,4,https://i.imgur.com/wsk5dPe.png,3947,-209,-9545,2,No,None,Jerodar,,,,,,,,,,,,,
H1_3,Tomb Marker,Iorek,H1,4,https://i.imgur.com/0SrU70x.png,3415,-396,-5820,5,No,Palm,Jerodar,,,,,,,,,,9,,,
H1_4,Ran Aground,Teras,H1,4,https://i.imgur.com/cZlvlNA.png,3737,-100,-4389,3,No,None,Jerodar,,,,,,,,,,,,,
H1_5,Oasis,Mc.Marc,H1,4,https://i.imgur.com/Tx5bWAm.png,3518,-405,-2931,2,No,"Palm, Hemlock",Jerodar,,8,,,,,,,,,,,
H1_6,Harbor Fort,NewWay,H1,4,https://i.imgur.com/RBTXmXe.png,5314,-130,-4726,5,No,Palm,Jerodar,,,,,,,,,,7,,,
H1_7,Highbridge,Eternz,H1,4,https://i.imgur.com/8XKZ11P.png,6805,-330,-5996,1,No,Palm,Jerodar,,,,,,,,,,,,,
H1_8,Desert Outpost,Unknown,H1,4,https://i.imgur.com/nSMpK75.png,6620,-275,-7737,2,No,"Palm, Hemlock",Jerodar,,7,,,,,,,,,,,
H1_9,Upheaval,Lykren,H1,4,https://i.imgur.com/IIJ8G7P.png,8091,650,-7374,3,No,Hemlock,Jerodar,,,,,,,,,,,,,
H1_10,Obelisk,Synovus,H1,4,https://i.imgur.com/KJUD8Sy.png,5004,-159,-6430,5,No,"Palm, Hemlock",Jerodar,,,,,,,,,,,,,10
H1_11,Gun Battery,Mr.Secundus,H1,4,https://i.imgur.com/MMTBKpt.png,4327,-470,-8532,4,No,Hemlock,Jerodar,,,,,,,,,,,,,
H1_12,Boulevard,WiredKamikaze,H1,4,https://i.imgur.com/rMpJfGS.png,5585,-183,-8951,2,No,Hemlock,Jerodar,,,,,,,,,,,,,
H2_1,Planetorium,NewWay,H2,4,https://i.imgur.com/9waKiHx.png,11593,383,-7728,4,No,"Palm, Hemlock",Jerodar,,,,,,,,,,,,,
H2_2,Necropolis,Unknown,H2,4,https://i.imgur.com/SpuGP4R.png,12028,374,-9052,5,No,Palm,Jerodar,,,,,,,,,,,,,
H2_3,Oil Baron,F_E_E_S_H,H2,4,https://i.imgur.com/3yysFXC.png,13302,-261,-9638,5,No,Hemlock,Jerodar,,,,,,,,,,9,,,
H2_4,Rust Forest,Unknown,H2,4,https://i.imgur.com/vbPFwdj.png,14009,-50,-10202,5,No,"Hemlock, Chestnut",Jerodar,,,,,,,,,,,,9,
H2_5,War Factory,Teras,H2,4,https://i.imgur.com/BZoJYTC.png,15545,-193,-9724,3,No,None,Jerodar,,,,,,,,,,,,,
H2_6,Ghostship,?,H2,4,https://i.imgur.com/S1oHtLK.png,16356,179,-9075,4,No,None,Jerodar,,,,,,,,,,,,,
H2_7,Machinery,Kranot,H2,4,https://i.imgur.com/cRHROI6.png,16655,-277,-8310,2,No,Hemlock,Jerodar,,,,,,,,,,,,,
H2_8,Crooked Spire,Unknown,H2,4,https://i.imgur.com/UIYaht5.png,12882,-167,-6235,5,No,"Palm, Hemlock",Jerodar,,,,,,,,,,9,,10,9
H2_9,Alexandria,[H] WillyPete,H2,4,https://i.imgur.com/GI5vRca.png,12977,444,-8266,0,No,Palm,Jerodar,,,,,,,,,,,,,
H2_10,Canyon Road,Synovus,H2,4,https://i.imgur.com/5RRiO3o.png,14808,577,-8079,3,No,Palm,Jerodar,,,,,,,,,,,,10,
H2_11,Barracks,Zerbe,H2,4,https://i.imgur.com/sjMqWtM.png,13433,126,-7378,2,No,Birch,Jerodar,,,,,,,,,,,,,
H2_12,Snowy Peaks,TVA.DivineEvil,H2,4,https://i.imgur.com/knZrscI.png,14414,282,-5547,4,No,None,Jerodar,,6,,,,,,,,10,,8,
H2_13,Construction Yard,[H] WillyPete,H2,4,https://i.imgur.com/J2kbo8C.png,15878,-329,-6364,2,No,None,Jerodar,,,,,,,,,,,,,
H2_14,Crimson Burrows,davidjerlinger,H2,4,https://i.imgur.com/3y7MgQR.png,16646,500,-5618,5,No,Palm,Jerodar,,,,,,,,,,,,,
H2_15,Marooned,Mr. Poopy-Butthole,H2,4,https://i.imgur.com/DTMHNK5.png,16060,201,-5022,0,No,Palm,Jerodar,,,,,,,,,,,,,
I1_1,Final Restingplace,mikhaeldionio,I1,4,https://i.imgur.com/V2VQl40.png,7703,-200,11760,2,No,Hemlock,Archaegeo,,,,,,,,,,,,,
I1_2,Dinosaur Bones,Diabase,I1,4,https://i.imgur.com/SWW5r2j.png,5653,-110,10914,2,No,Hemlock,Jerodar,,,,,,,,,,9,,10,
I1_3,Sinkhole,Huntanian,I1,4,https://i.imgur.com/cnEOAY3.png,4322,235,11030,4,No,"Palm, Hemlock",Jerodar,,,,,,,,,,,,,
I1_4,Spire Harbor,NewWay,I1,4,https://i.imgur.com/5UoYWZP.png,4839,294,12028,2,No,"Palm, Hemlock",Jerodar,,,,,,,,,,,,,
I1_5,Sheltered,NewWay,I1,4,https://i.imgur.com/fmYOCRv.png,3796,335,12339,1,No,"Palm, Hemlock",Jerodar,,,,,,,,,,9,,8,
I1_6,Old Mines,Node,I1,4,https://i.imgur.com/wObqOhd.png,4798,-93,13611,5,No,Palm,Jerodar,,,,,,,,,,,,,
I1_7,Battleship,Teras,I1,4,https://i.imgur.com/BmkzxKz.png,2880,-416,13770,2,No,Hemlock,Jerodar,,,,,,,,,,,,,
I1_8,Pharaoh's Palace,Darklight,I1,4,https://i.imgur.com/Qd6rByt.png,2931,-280,16332,3,No,"Oak, Birch, Palm, Hemlock",Jerodar,,,,,,,,,,,,,
I1_9,Dark Jungle,Loryenne,I1,4,https://i.imgur.com/8eZItZ7.png,2584,497,14940,1,No,"Palm, Hemlock",Jerodar,,,,,,,,,,,,,
I1_10,Pink Hills,GermanLeagueGamingX,I1,4,https://i.imgur.com/xcctpAv.png,4038,-264,15448,5,No,"Birch, Elm, Cedar, Oak, Hemlock",Jerodar,,,,,,,,,,,,,
I1_11,Behelith,McWizard,I1,4,https://i.imgur.com/wki9Gxq.png,5284,566,16201,2,No,Hemlock,Jerodar,,,,,,,,,,,,,
I1_12,Dust Ball,Zammy,I1,4,https://i.imgur.com/UpCn9Oz.png,6056,-232,14639,2,No,Hemlock,Jerodar,,,,,,,,,,,,,
I1_13,Launch Pad,NoNameMouse,I1,4,https://i.imgur.com/VcqnoBf.png,6374,483,13176,3,No,Hemlock,Jerodar,,,,,,,,,,,,8,
I1_14,Monks Peak,Dosko,I1,4,https://i.imgur.com/a3wLQau.png,6345,510,11999,4,No,Hemlock,Jerodar,,,,,,,,,,,,,
I2_1,Two Face,Rocekjn,I2,4,https://i.imgur.com/ETENBHy.png,11033,305,14268,1,No,Palm,Archaegeo,,,,,,,,,,,,10,
I2_2,Surf Hill,Lavavex | 変態ばか,I2,4,https://i.imgur.com/sFrpatI.png,10876,-230,13020,3,No,Palm,Archaegeo,,10,,,,,,,,,,,
I2_3,Mausoleum,DeadDropping,I2,4,https://i.imgur.com/d5ToCz4.png,10052,536,14333,3,No,None,Archaegeo,,,,,,,,,,,,,
I2_4,Ruined Capital,Synovus,I2,4,https://i.imgur.com/kL9IDV2.png,8998,-545,14984,3,No,Palm,Archaegeo,,,,,,,,,,,,,
I2_5,Royal Compound,Cpt.dom,I2,4,https://i.imgur.com/mN3lb6b.png,9672,517,13539,4,No,"Palm, Hemlock",Archaegeo,,,,,,,,,,,,,
I2_6,Orbital Cannon,NewWay,I2,4,https://i.imgur.com/r2INytw.png,10107,324,12150,5,No,Palm,Jerodar,,,,,,,,,,,,,
I2_7,Cube,Planetfall,I2,4,https://i.imgur.com/1PpT5uV.png,8339,188,16627,1,No,Hemlock,Jerodar,,,,,,,,,,,,,
I2_8,Worship,Unknown,I2,4,https://i.imgur.com/CyYZSSy.png,9833,-273,16358,3,No,Hemlock,Jerodar,,10,,,,,,,,,,,
I2_9,Hillside Town,Rex,I2,4,https://i.imgur.com/FfQvcl4.png,10553,397,15226,5,No,Hemlock,Jerodar,,,,,,,,,,,,,
I2_10,Desert City,ArchEngel,I2,4,https://i.imgur.com/wvK6ZLa.png,12047,-112,12905,4,No,Palm,Jerodar,,,,,,,,,,,,,
I3_1,Tilted Spire,Captainheathcliff,I3,4,https://i.imgur.com/gxdxyfW.png,16599,559,15350,2,No,Hemlock,Archaegeo,,,,,,,,,,,,,
I3_2,Black Spires,Arkendi,I3,4,https://i.imgur.com/HcqGUOR.png,16886,-44,14000,3,No,"Palm, Hemlock",Archaegeo,,,,,,,,,,,,,
I3_3,Canyon of Life,Daft Vader,I3,4,https://i.imgur.com/43z8SHk.png,16814,75,16506,2,No,"Palm, Hemlock",Archaegeo,,,,,,,,,,,,,
I3_4,Archaeological Dig,Mr.Secundus,I3,4,https://i.imgur.com/YPJEUAd.png,15849,376,16140,5,No,"Palm, Hemlock, Birch, Oak",Archaegeo,,,,,,,,,,,,,
I3_5,Shipyard,Diabase,I3,4,https://i.imgur.com/xzRtv3Y.png,14338,-201,16648,5,No,Hemlock,Archaegeo,,,,,,,,,,,,,
I3_6,Tall Tall,Kranot,I3,4,https://i.imgur.com/W48rICT.png,14046,-23,14092,3,No,"Palm, Hemlock",Archaegeo,,,,,,,,,,,,,
I3_7,Red Canyons,Kranot,I3,4,https://i.imgur.com/sQ03xmt.png,12965,123,16128,4,No,"Palm, Hemlock",Jerodar,,,,,,,,,,,,,
I3_8,Sand Cloister,Mc.Marc,I3,4,https://i.imgur.com/0SUaxVv.png,15845,-330,14755,1,No,"Palm, Hemlock",Jerodar,,,,,,,,,,,,,
I3_9,Divide,#MOB| Mr.Stone :),I3,4,https://i.imgur.com/xZxOAe5.png,16148,-109,12953,2,No,"Oak, Birch, Hemlock",Jerodar,,,,,,,,,,,,,
I3_10,Sky Station,NoNameMouse,I3,4,https://i.imgur.com/VVnJc8U.png,15395,97,13747,5,No,"Birch, Palm",Jerodar,,6,,,,,,,,9,,8,
I3_11,Migrant Isle,Nausical,I3,4,https://i.imgur.com/rCHQVSo.png,14714,297,12612,2,No,"Birch, Hemlock",Jerodar,,,,,,,,,,,,8,
I3_12,Watchers,Lexhy,I3,4,https://i.imgur.com/NgR5PSt.png,14601,334,15119,1,No,Palm,Jerodar,,,,,,,,,,,,,
K1_1,Ruins Peak,Unknown,K1,2,https://puu.sh/wtVUN/2c9d6fc388.png,-13500,-500,16400,2,,,Jerodar,,,,,,,,,,,,,
K1_2,Telescope,homecomp,K1,2,https://puu.sh/wtV1J/87db60afbf.png,-12400,500,17100,2,No,"Chestnut, Elm",Jerodar,,,,,,,,,,,,,
K1_3,Beacon,BearNana,K1,2,https://puu.sh/wtU2v/e648ede05d.png,-10600,500,16800,3,Yes,"Birch, Elm, Oak",Jerodar,,,,,,,,,,,,,
K1_4,Worms,Bean,K1,2,https://puu.sh/wtTW6/cb2baf9d54.png,-8700,0,17100,2,Yes,"Oak, Palm",Jerodar,,,,,,,,,,,,,
K1_5,Gates,OddNova,K1,2,https://puu.sh/wu5Xn/bbeef3cc11.png,-11600,0,15300,2,No,"Birch, Chestnut, Elm",Jerodar,,,,,,,,,,,,,
K1_6,Mini Jungle,Oafrat,K1,2,https://puu.sh/wu0BK/466c325a11.png,-9200,0,15100,3,No,"Oak, Palm",Jerodar,,,,,,,,,,,,,
K1_7,Donut,Wyvyrias,K1,2,https://puu.sh/wtX4G/1d7428c939.png,-14000,0,14500,3,Yes,"Birch, Oak",Jerodar,,,,,,,,,,,,,
K1_8,Pebble,imm.o,K1,2,https://puu.sh/wu12X/2b5cd254bc.png,-11300,0,14400,1,,,Jerodar,,,,,,,,,,,,,
K1_9,Control Tower,Xelion,K1,2,https://puu.sh/wtZWL/95c9300d01.png,-9600,500,13900,4,,"Elm, Oak",Jerodar,,,,,,,,,,,,,
K1_10,Twists,CaveCanem,K1,2,https://puu.sh/wtXqt/318dd92e73.png,-13500,-500,12800,2,,,Jerodar,,,,,,,,,,,,,
K1_11,Rockcone,N3x,K1,2,https://puu.sh/wu6uJ/7fa2cc2e04.png,-11700,500,13100,2,,,Jerodar,,,,,,,,,,,,,
K1_12,Blue,TVA.DivineEvil,K1,2,https://puu.sh/wtZp6/4c06282b85.png,-9700,-500,12500,3,,,Jerodar,,,,,,,,,,,,,
K2_1,Screw,Rojo,K2,1,https://i.imgur.com/eMVvN7U.png,-537,484,14081,1,No,"Oak, Elm, Birch",Jerodar,,,,,,,,,,,,,
K2_2,Facing Caves,Narciciss,K2,1,https://i.imgur.com/nEyRg4P.png,-570,282,15405,3,Yes,Oak,Jerodar,,0,4,0,0,2,4,0,0,0,0,0,0
K2_3,Sport Field,Soul,K2,1,https://i.imgur.com/xUFt8ps.png,256,498,16359,1,Yes,Chestnut,Jerodar,,0,3,3,0,2,1,0,0,0,0,0,0
K2_4,Yarn Ball,Magnymbus,K2,1,https://i.imgur.com/4BGbaBm.png,-1585,506,16704,2,No,"Elm, Birch, Chestnut",Jerodar,,,,,,,,,,,,,
K2_5,Mountain Range,Narciciss,K2,1,https://i.imgur.com/Jp08D3N.png,-2165,-243,15740,3,Yes,"Birch, Oak",Jerodar,,,,,,,,,,,,,
K2_6,Drained Basin,�����,K2,1,https://i.imgur.com/468OTSv.png,-2253,158,14286,2,Yes,Elm,Jerodar,,,,,,,,,,,,,
K2_7,Caldera,Fjarnskaggl,K2,1,https://i.imgur.com/er3rs4P.png,-3391,150,15845,3,Yes,"Birch, Ash, Palm, Elm",Jerodar,,,,,,,,,,,,,
K2_8,Purple Glade,Scry-Fire,K2,1,https://i.imgur.com/vXZ4jkT.png,-4455,111,16598,2,Yes,"Oak, Birch",Jerodar,,,,,,,,,,,,,
K2_9,Autumn Mountain,Oafrat,K2,1,https://i.imgur.com/Vmktz05.png,-6745,-76,16238,2,Yes,"Birch, Chestnut",Jerodar,,,,,,,,,,,,,
K2_10,Climbers Clif,N3x,K2,1,https://i.imgur.com/hCkHF1d.png,-6576,-355,14568,2,No,Elm,Jerodar,,,,,,,,,,,,,
K2_11,Overgrown Towers,Crossfire,K2,1,https://i.imgur.com/oUkes2o.png,-7176,-325,13032,2,Yes,"Oak, Birch, Elm",Jerodar,,,,,,,,,,,,,
K2_12,Monument Path,tiy0874,K2,1,https://i.imgur.com/NxN3U34.png,-5532,557,13463,1,Yes,Birch,Jerodar,,,,,,,,,,,,,
